name;Owner;normal_prod;capacity;aggregates;turbine_type;station;height;Vattenf;mean_runoff;magasin;river;location;community;region;Lat;Long
Fröslida;Statkraft Sverige Vattendel 3 AB;10500;2400;2;;Ovanjordsanläggning;5.5;;;;Nissan;Torup;Hylte kommun;Hallands län;56.87088;13.04885
Prästforsen;Gävle Kraftvärme AB;10445;2900;2;Kaplan;Ovanjordsanläggning;9.5;35;;;Gavleån;Gävle;Gävle kommun;Gävleborgs län;60.66873;17.07688
Åbyfors;Gävle Kraftvärme AB;10155;2900;2;Kaplan;Ovanjordsanläggning;9.5;35;;;Gavleån;Valbo;Gävle kommun;Gävleborgs län;60.65622;17.03195
Semla;Kolbäckens Kraft KB;10100;2700;3;;Ovanjordsanläggning;10.5;;;;Kolbäcksån;Fagersta;Fagersta kommun;Västmanlands län;60.01801;15.75738
Duved;Jämtkraft AB;10000;5600;1;Francis;Ovanjordsanläggning;212;3;0.6;11;Indalsälven;Duved;Åre kommun;Jämtlands län;63.38493;12.90479
Johannisholm;Fortum Generation AB;10000;1500;1;Kaplan;Ovanjordsanläggning;7;28.5;26;137;Vanån;Mora;Mora kommun;Dalarnas län;60.83148;14.11952
Västgöthyttefors;E.ON Vattenkraft Sverige AB;10000;1800;2;;Ovanjordsanläggning;6.7;;;;Svartälven;Nora;Nora kommun;Örebro län;59.50805;14.73566
Älvås;Ljusfors kraft AB;10000;1500;3;Rörturbin;Ovanjordsanläggning;2.3;90;78;;Motala Ström;Norrköping;Norrköpings kommun;Östergötlands län;58.54617;15.95960
Odensfors;Tekniska Verken i Linköping AB;10000;2200;2;;Ovanjordsanläggning;12.5;;;;Svartån, Motala ström;Odensfors;Linköpings kommun;Östergötlands län;58.44660;15.46671
Tannefors;Tekniska Verken i Linköping AB;10000;2351;1;Full Kaplan;Ovanjordsanläggning;9.8;32;14;;Stångån, Motala Ström;Linköping;Linköpings kommun;Östergötlands län;58.40051;15.65002
Björkborn;Fortum Generation AB;9900;2500;1;Kaplan;Ovanjordsanläggning;8.1;40;;;Timsälven;Karlskoga;Karlskoga kommun;Örebro län;59.33673;14.53686
Upperud;Vattenfall Småskalig Kraft AB;9800;2800;2;;Ovanjordsanläggning;5;;;;Upperudsälven;Upperud;Melleruds kommun;Västra Götalands län;58.80928;12.43571
Järnfallet;Holmen Kraft AB;9500;1800;3;;Ovanjordsanläggning;;;;;Iggesundsån;Iggesund;Hudiksvalls kommun;Gävleborgs län;61.63899;17.07508
Österforsen;AB Edsbyns Elverk;9435;1540;2;Francis;Ovanjordsanläggning;9.7;21;27;;Voxnan;Edsbyn;Ovanåkers kommun;Gävleborgs län;61.38100;15.82621
Blankaström;E.ON Vattenkraft Sverige AB;9400;1876;2;Francis;Ovanjordsanläggning;8;;;;Emån;Blankaström;Högsby kommun;Kalmar län;57.21931;15.91662
Lennartsfors;Mälarenergi Vattenkraft AB;9200;3300;6;Francis;Ovanjordsanläggning;9;30;19;;Upperudsälven;Lennartsfors;Årjängs kommun;Värmlands län;59.31751;11.90332
Sundborn;Falu Kraft AB;9130;2190;3;Francis;Ovanjordsanläggning;7.5;36;20;280;Svärdsjövattendragen;Falun;Falu kommun;Dalarnas län;60.65106;15.77668
Bångbro;Mälarenergi Vattenkraft AB;9000;1540;1;Kaplan;Ovanjordsanläggning;31.4;5.5;4.3;;Storån;Bångbro;Ljusnarsbergs kommun;Örebro län;59.85863;15.04768
Klåvben;Olofströms Energiservice AB & E.ON Vattenkraft Sverige AB;9000;2700;1;Kaplan;Underjordsanläggning;24;14;7.8;;Ronnebyån;Klåvben;Ronneby kommun;Blekinge län;56.39536;15.23232
Hednäs;Skellefteå Kraftaktiebolag;9000;2150;1;Kaplan;Ovanjordsanläggning;15.5;16;;;Åbyälven;Blåfors;Skellefteå kommun;Västerbottens län;65.18899;20.86619
Rundbacken;E.ON Vattenkraft Sverige AB;8800;2520;3;Francis;Ovanjordsanläggning;83;;;;Ljustorpsån;Ljustorp;Timrås kommun;Västernorrlands län;62.70927;17.17341
Getterån;Härjeåns Kraft AB;8800;1360;1;;Ovanjordsanläggning;;;;;Getterån;Fränsta;Ånge kommun;Västernorrlands län;62.53968;16.10162
Flögfors;Västerbergslagens Kraft AB;8600;1600;2;;Ovanjordsanläggning;12.5;;;;Storån;Flögfors;Lindesbergs kommun;Örebro län;59.76512;15.17117
Frövifors;Mälarenergi Vattenkraft AB;8600;2300;1;Kaplan;Ovanjordsanläggning;12.2;24;14.8;;Arbogaån;Frövi;Lindesbergs kommun;Örebro län;59.48106;15.32992
Delary;E.ON Vattenkraft Sverige AB;8577;1700;1;Kaplan;Ovanjordsanläggning;13;15.8;;;Helge å;Delary;Älmhults kommun;Kronobergs län;56.54656;13.95426
Blankafors;Karlskoga Energi & Miljö AB;8500;1600;2;;Ovanjordsanläggning;;;;;Svartälven;Nora;Nora kommun;Örebro län;59.52910;14.70551
Njura;E.ON Vattenkraft Sverige AB;8500;2940;2;;Ovanjordsanläggning;5.5;;;;Helge å;Njura;Östra Göinge kommun;Skåne län;56.28372;14.06442
Hästberga;Brittedals Kraftproduktion AB;8500;1720;1;Kaplan;Ovanjordsanläggning;10;20;;;Helge å;Osby;Hässleholms kommun;Skåne län;56.38150;13.85577
Forssa Övre;Orsa besparingsskog;8500;1500;3;;Ovanjordsanläggning;;;;;Harmångersån;Forssa;Nordanstigs kommun;Gävleborgs län;61.93906;17.17647
Fridafors Nedre;Watten i Sverige AB;8500;1500;3;Kaplan;Ovanjordsanläggning;6.2;37;;;Mörrumsån;Almundsryd;Tingsryds kommun;Kronobergs län;56.39999;14.66662
Klinte;Skånska Energi;8500;3300;1;Francis;Ovanjordsanläggning;26;;;;Solgenån;Brunshult;Vetlanda kommun;Jönköpings län;57.48986;15.11122
Jonsered;Vattenfall Småskalig Kraft AB;8300;2357;4;Francis;Ovanjordsanläggning;8;;;;Säveån;Jonsered;Partille kommun;Västra Götalands län;57.74937;12.17525
Skåpafors;Vattenfall Småskalig Kraft AB;8300;2300;3;;Ovanjordsanläggning;19.8;;;;Upperudsälven;Skåpafors;Bengtsfors kommun;Västra Götalands län;59.01916;12.27745
Tollered;Vattenfall Vattenkraft AB;8170;3000;1;;Ovanjordsanläggning;60;;;;Säveån;Tollered;Lerums kommun;Västra Götalands län;57.81598;12.42696
Emsfors;E.ON Vattenkraft Sverige AB;8000;1920;2;Kaplan;Ovanjordsanläggning;5.8;;;;Helge å;Emsfors;Östra Göinge kommun;Skåne län;56.21011;14.09653
Handöl övre;Jämtkraft AB;8000;1500;1;Francis;Ovanjordsanläggning;69.3;2.4;;;Indalsälven;Östersund;Åre kommun;Jämtlands län;63.24977;12.44432
Rockesholm;Karlskoga Energi & Miljö AB;8000;1600;2;Francis;Ovanjordsanläggning;6.2;;;;Svartälven;Hällefors;Hällefors kommun;Örebro län;59.53592;14.63561
Västerkvarn;Mälarenergi Vattenkraft AB;8000;2100;3;Francis;Ovanjordsanläggning;6.6;42;28;;Kolbäcksån;Mölntorp;Hallstahammar kommun;Västmanlands län;59.54603;16.25304
Ellingeån övre;G.B. Invest AB;8000;1300;1;;Ovanjordsanläggning;19;;;;Ellingeån;Malung;Malung-Sälens kommun;Dalarnas län;60.72973;13.51642
Kvarnån;Bodens Energi AB;8000;1500;1;Francis;Ovanjordsanläggning;63;3.5;;;Kvarnån;Boden;Bodens kommun;Norrbottens län;66.06117;20.81021
Ljungby;Ljungby Energi AB;8000;1650;4;1 st Kaplan, 3 st Francis;Ovanjordsanläggning;5;;;;Lagan;Ljungby;Ljungby kommun;Kronobergs län;56.83059;13.95044
Skattungbyn;Fortum Generation AB;7800;1600;2;;Ovanjordsanläggning;;24;22;83;Oreälven;Skattungbyn;Orsa kommun;Dalarnas län;61.19950;14.86343
Oppboga;Linde Energi Försäljning AB;7711;1800;2;;Ovanjordsanläggning;;;;;Arbogaån;Lindesberg;Lindesbergs kommun;Örebro län;59.43033;15.55151
Brättne;Arvika Kraft AB;7500;1300;1;Kaplan;Ovanjordsanläggning;12.5;13;;;Jösseälven;Brättne;Arvika kommun;Värmlands län;59.74255;12.53191
Östanå;E.ON Vattenkraft Sverige AB;7500;2075;2;;Ovanjordsanläggning;6.4;;;;Helge å;Östanå;Östra Göinge kommun;Skåne län;56.30474;14.02016
Vilhelmina;Vattenfall Ångermanälven AB;7300;1500;1;Semikaplan;Ovanjordsanläggning;5.2;25;58;594;Vojmån;Vilhelmina;Vilhelminas kommun;Västerbottens län;64.61753;16.65206
Fridafors Övre;Watten i Sverige AB;7300;1200;2;Francis;Ovanjordsanläggning;;25;;;Mörrumsån;Fridafors;Tingsryds kommun;Kronobergs län;56.40624;14.66376
Högfors;E.ON Vattenkraft Sverige AB;7200;2100;1;Francis;Underjordsanläggning;91;2;;;Högforsån;Undrom;Sollefteå kommun;Västernorrlands län;63.15808;17.77061
Lafssjö;E.ON Vattenkraft Sverige AB;7100;1440;1;;Ovanjordsanläggning;24.8;7;4.2;14;Lafsan;Ramsele;Sollefteå kommun;Västernorrlands län;63.57079;16.28500
Horkoneryd;E.ON Vattenkraft Sverige AB;7000;2100;1;Francis;Ovanjordsanläggning;17;;;;Ronnebyån;Konga;Tingsryds kommun;Kronobergs län;56.43173;15.18680
Dingelvik;Dingelviks Kraft AB;7000;1200;3;;Ovanjordsanläggning;3.1;;;;Upperudsälven;Dals-Långed;Bengtsfors kommun;Västra Götalands län;58.91833;12.31172
Nyebro;Statkraft Sverige Vattendel 3 AB;7000;1400;1;;Ovanjordsanläggning;4.1;;;;Nissan;Torup;Hylte kommun;Hallands län;56.93472;13.07577
Piparån;Envikens Elkraft ek för;7000;1050;1;Kaplan;Ovanjordsanläggning;11;12;;;Svärdsjövattendragen;Enviken;Falu kommun;Dalarnas län;60.84715;15.76087
Röttle;Jönköpings Energi;7000;6000;1;Francis;Ovanjordsanläggning;108;;;;Röttleån;Gränna;Jönköpings kommun;Jönköpings län;58.01276;14.45073
Billingsfors;Vattenfall Småskalig Kraft AB;7000;1884;4;Francis;Ovanjordsanläggning;6.1;34;23.6;;Upperudsälven;Billingsfors;Bengtsfors kommun;Västra Götalands län;58.98815;12.25621
Tunafors;Strömfallet Tunafors AB;7000;1700;3;2 Francis, 1 Rörkaplan;Ovanjordsanläggning;5.3;;;;Eskilstunaån;Eskilstuna;Eskilstuna kommun;Södermanlands län;59.36300;16.51200
Hennan;Ljusdal Energi AB;7000;1474;1;Kaplan;Ovanjordsanläggning;22;;;;Väljeån;Ljusdal;Ljusdals kommun;Gävleborgs län;62.02910;15.91145
Sperlingsholm;Sperlingsholms Holding AB;7000;2920;2;Kaplan;Ovanjordsanläggning;;;;;Nissan;Halmstad;Halmstads kommun;Hallands län;56.69847;12.92568
Borgvik;Mälarenergi Vattenkraft AB;6800;2200;1;Kaplan;Ovanjordsanläggning;11;22;11.3;;Borgviksälven;Grums;Grums kommun;Värmlands län;59.35455;12.95782
Bro;Statkraft Sverige Vattendel 3 AB;6500;1450;1;Kaplan;Ovanjordsanläggning;8;;;;Lagan;Bro;Ljungby kommun;Kronobergs län;56.91812;13.99830
Jäder;Mälarenergi Vattenkraft AB;6500;1000;1;Kaplan;Ovanjordsanläggning;5;25;35.9;;Arbogaån;Arboga;Arboga kommun;Västmanlands län;59.40822;15.78358
Nykvarn;Tekniska Verken i Linköping AB;6500;1200;2;Ovanjordsanläggning;Ovanjordsanläggning;4;40;41;;Motala Ström;Ljungsbro;Linköpings kommun;Östergötlands län;58.50675;15.51905
Pappersfallet;Holmen AB;6500;1300;3;Francis;Ovanjordsanläggning;;;;;Iggesundsån;Iggesund;Hudiksvalls kommun;Gävleborgs län;61.64964;17.03806
Sliperifallet;Holmen Kraft AB;6500;1100;1;;Ovanjordsanläggning;;;;;Iggesundsån;Iggesund;Hudiksvalls kommun;Gävleborgs län;61.64081;17.06539
Harg;Nyköping Vattenkraft AB;6420;1430;2;Turbin 1 Francis, Turbin 2 Kaplan;Ovanjordsanläggning;6.3;28;24.4;;Nyköpingsån;Nyköping;Nyköpings kommun;Södermanlands län;58.77525;16.98309
Kvillsfors;Skånska Energi AB;6400;1100;1;Kaplan;Ovanjordsanläggning;14;15;13.4;0;Emån;Kvillsfors;Vetlanda kommun;Jönköpings län;57.41144;15.51104
Strömdalen;Gävle Kraftvärme AB;6388;1900;2;Kaplan;Ovanjordsanläggning;6.4;;;;Gavleån;Gävle;Gävle kommun;Gävleborgs län;60.67249;17.12352
Tolvfors;Gävle Kraftvärme AB;6053;1850;3;;Ovanjordsanläggning;6.4;;;;Gavleån;Gävle;Gävle kommun;Gävleborgs län;60.67947;17.11157
Finspång;Coor Service Management Industriservice AB;6000;1300;3;;Ovanjordsanläggning;15;;;;Finspångsån;Finspång;Finspångs kommun;Östergötlands län;58.71170;15.77426
Adolfsfors;Arvika Kraft AB;6000;1500;1;Kaplan;Ovanjordsanläggning;8.5;17;14.5;;Kölaälven;Adolfsfors;Eda kommun;Värmlands län;59.79747;12.22835
Biskopsberg;Holmia Fastigheter AB;6000;2330;3;;Ovanjordsanläggning;;;;;Lyckebyån;Karlskrona;Karlskrona kommun;Blekinge län;56.26838;15.73342
Kölsillre;Ytterhogdals Elektriska Kraft AB;6000;1000;1;;Ovanjordsanläggning;;;61;102;Ljungan;Ytterhogdal;Ånge kommun;Västernorrlands län;62.39259;15.19875
Charlottenberg;Arvika Kraft AB;6000;1450;1;Francis, dubbel;Ovanjordsanläggning;23;8;2.9;0.3;Vrångsälven;Charlottenberg;Eda kommun;Värmlands län;59.88241;12.28124
Krokfors;Bodens Energi AB;6000;1500;1;Kaplan;Ovanjordsanläggning;22;8;;;Bodträskån;Boden;Bodens kommun;Norrbottens län;66.19740;20.71438
Mjölby;Mjölby-Svartådalen Energi AB;6000;2240;4;Dubbelfrancis;Ovanjordsanläggning;8;;;;Svartån, Motala ström;Mjölby;Mjölby kommun;Östergötlands län;58.32739;15.12967
Storgysinge;Fortum Generation AB;6000;1000;2;;Ovanjordsanläggning;6.5;20;;;Dalälven;Untra;Tierps kommun;Uppsala län;60.44206;17.29081
Turefors;Skånska Energi AB;5800;1100;1;Kaplan;Ovanjordsanläggning;9.5;15;12.5;0;Emån;Kvillsfors;Vetlanda kommun;Jönköpings län;57.41045;15.49116
Ringaby;Linde Energi Försäljning AB;5737;1540;4;3 st Francis 1st Kaplan ;Ovanjordsanläggning;;;;;Arbogaån;Lindesberg;Lindesbergs kommun;Örebro län;59.42679;15.47175
Ronneby;E.ON Vattenkraft Sverige AB;5500;1500;1;Kaplan;Ovanjordsanläggning;15;;;;Ronnebyån;Ronneby;Ronneby kommun;Blekinge län;56.21283;15.27648
Skinnskatteberg;Mälarenergi Vattenkraft AB;5500;1300;2;1 Francis, 1 Semikaplan;Ovanjordsanläggning;19;9;4;;Hedströmmen;Skinnskatteberg;Skinnskattebergs kommun;Västmanlands län;59.82525;15.67981
Trilleholm;Trilleholms Kraft AB;5500;970;2;;Ovanjordsanläggning;4.8;;;;Tidan;Mariestad;Mariestads kommun;Västra Götalands län;58.66674;13.83317
Åby;Statkraft Sverige Vattendel 3 AB;5500;916;1;Francis;Ovanjordsanläggning;7.9;;;;Skålån;Åby;Ljungby kommun;Kronobergs län;56.91396;14.01207
Sjuntorp;Kalltorp Kraft HB;5500;1800;2;;Ovanjordsanläggning;;;;;Slumpån;Trollhättan;Trollhättans kommun;Västra Götalands län;58.19733;12.22170
Västanfors;Kolbäckens Kraft KB;5400;1150;1;;Ovanjordsanläggning;5.2;;;;Kolbäcksån;Västanfors;Fagersta kommun;Västmanlands län;59.98653;15.80913
Bygdsiljum;Skellefteå Kraftaktiebolag;5400;1200;1;Kaplan;Ovanjordsanläggning;7.5;22;;;Rickleån;Bygdsiljum;Skellefteå kommun;Västerbottens län;64.34957;20.50700
Koppom;Arvika Kraft AB;5400;1000;1;Kaplan;Ovanjordsanläggning;11;11;12.6;;Kölaälven;Koppom;Eda kommun;Värmlands län;59.71111;12.14777
Surahammar;Mälarenergi Vattenkraft AB;5300;1000;1;Kaplan;Ovanjordsanläggning;4.3;36;26;;Kolbäcksån;Surahammar;Surahammars kommun;Västmanlands län;59.71085;16.21148
Edeforsen;Fortum Generation AB;5200;900;2;Flygt;Ovanjordsanläggning;;;;;Ljusnan;Edeforsen;Ljusdals kommun;Gävleborgs län;61.76669;16.17055
Skogstorp;Skogstorp Kraftvek AB;5200;1200;1;Lawaczeck;Ovanjordsanläggning;5.2;;;;Eskilstunaån;Eskilstuna;Eskilstuna kommun;Södermanlands län;59.33138;16.47616
Häggårda;Borås Energi och Miljö AB;5200;1790;2;Francis;Ovanjordsanläggning;28;8;;;Häggån;Borås;Borås kommun;Västra Götalands län;57.61594;12.93879
Sälla;Arjeplogs Allmänningsskogar;5200;850;1;Francis;Ovanjordsanläggning;3;24;6.5;;Skellefteälven;Arjeplog;Arjeplogs kommun;Norrbottens län;66.06672;17.80758
Seglingsberg;Mälarenergi Vattenkraft AB;5100;1400;2;Semikaplan hävertturbin;Ovanjordsanläggning;3.2;60;25;;Kolbäcksån;Seglingsberg;Surahammars kommun;Västmanlands län;59.82231;16.14420
Forsmöllan;Skånska Energi Vattenkraft AB;5000;886;1;Kaplan;Ovanjordsanläggning;8.8;;;;Rönne å;Klippan;Klippans kommun;Skåne län;56.11741;13.16533
Nyfors;Statkraft Sverige AB;5000;1100;1;Rörkaplan;Ovanjordsanläggning;7.9;16;;;Nätraån;Långsele;Örnsköldsviks kommun;Västernorrlands län;63.25581;18.36398
Stjärnfors;Mälarenergi Vattenkraft AB;5000;1100;2;Francis;Ovanjordsanläggning;27;5.7;3.8;;Storån;Stjärnfors;Ljusnarsbergs kommun;Örebro län;59.82980;15.01330
Lofssjön;Härjeåns Kraft AB;5000;1060;1;Kaplan;Ovanjordsanläggning;12.4;10.5;5.6;81.4;Lofsen;Glöte;Härjedalens kommun;Jämtlands län;62.03825;13.49746
Djupdal;Bångbro Kraft AB;5000;800;1;2 Francis, 1 Kaplan;Ovanjordsanläggning;13;;;;Jädraån;Järbo;Sandvikens kommun;Gävleborgs län;60.71063;16.61304
Fredriksfors;Skellefteå Kraftaktiebolag;5000;870;1;Francis / Kaplan;Ovanjordsanläggning;6;21;;;Rickleån;Robertsfors;Robertsfors kommun;Västerbottens län;64.20109;20.82005
Hackefors;Tekniska Verken i Linköping AB;5000;1060;1;Full Kapln;Ovanjordsanläggning;7;;14;;Stångån, Motala Ström;Linköping;Linköpings kommun;Östergötlands län;58.38493;15.69663
Gottne;Gottne Energi AB;5000;780;1;Tvillingfrancis;Ovanjordsanläggning;17;5.5;15.8;;Moälven;Gottne;Örnsköldsviks kommun;Västernorrlands län;63.42877;18.39452
Sjunnen;Sapa Profiler AB;5000;1468;2;;Underjordsanläggning;16.2;;;;Emån;Vetlanda;Vetlanda kommun;Jönköpings län;57.43718;15.17133
Skultuna;Mälarenergi Vattenkraft AB;5000;1300;1;Kaplan;Ovanjordsanläggning;18;8;5.5;;Svartån, Västerås;Västerås;Västerås kommun;Västmanlands län;59.71856;16.41909
Slottsmöllan;Slottsmöllans Fastighets AB;5000;1200;2;Kaplan;Ovanjordsanläggning;2.7;50;;0;Nissan;Halmstad;Halmstads kommun;Hallands län;56.69021;12.87310
Tännfallet;Härjeåns Kraft AB;5000;1000;2;;Ovanjordsanläggning;38;;;;Ljusnan;Tännäs;Härjedalens kommun;Jämtlands län;62.48311;12.48993
Djupafors;E.ON Vattenkraft Sverige AB;4800;1050;1;Kaplan;Underjordsanläggning;10.7;;;;Ronnebyån;Kallinge;Ronneby kommun;Blekinge län;56.23640;15.27567
Fagersta;Kolbäckens Kraft KB;4800;1200;1;;Ovanjordsanläggning;4.4;;;;Kolbäcksån;Fagersta;Fagersta kommun;Västmanlands län;60.00487;15.78052
Kallinge;E.ON Vattenkraft Sverige AB;4800;1320;1;Kaplan;Ovanjordsanläggning;11.1;;;;Ronnebyån;Kallinge;Ronneby kommun;Blekinge län;56.24371;15.28882
Marieberg;E.ON Vattenkraft Sverige AB;4800;880;1;Francis;Ovanjordsanläggning;4.8;;;;Mörrumsån;Svängsta;Karlshamns kommun;Blekinge län;56.25273;14.77881
Agnäs;Skellefteå Kraftaktiebolag;4800;750;1;;Ovanjordsanläggning;;;;;Öreälven;Agnäs;Bjurholms kommun;Västerbottens län;63.84721;19.27627
Ljungå;Privatperson;4800;1250;1;;Ovanjordsanläggning;;;;;Ljungån;Ljungå;Bräcke kommun;Jämtlands län;62.75568;16.30937
Gisslarbo;Mälarenergi Vattenkraft AB;4700;1050;2;Francis;Ovanjordsanläggning;30;4.5;3.1;;Gunnilboån;Gisslarbo;Köpings kommun;Västmanlands län;59.62090;15.81434
Kungsfors;Vattenfall Småskalig Kraft AB;4650;1060;2;Francis, Kaplan;Ovanjordsanläggning;16;;;;Viskan;Skene;Marks kommun;Västra Götalands län;57.48631;12.67153
Smedjebacken;Smedjebacken Energi AB;4600;1380;1;Kaplan;Ovanjordsanläggning;5;;;;Kolbäcksån;Smedjebacken;Smedjebackens kommun;Dalarnas län;60.14029;15.40679
Jädraås;Bångbro Kraft AB;4600;600;1;Francis;Ovanjordsanläggning;17;;;;Jädraån;Jädraås;Ockelbo kommun;Gävleborgs län;60.83830;16.46271
Brududden;Arvika Kraft AB;4500;1500;1;Kaplan;Ovanjordsanläggning;9.5;17;;0.9;Jösseälven;Arvika;Arvika kommun;Värmlands län;59.90865;12.51752
Bäckebo;Ljusdal Energi AB;4500;900;2;;Ovanjordsanläggning;7.7;15;10.9;48.3;Sillerboån;Tallåsen;Ljusdals kommun;Gävleborgs län;61.88515;15.98350
Järpforsen;Arvika Kraft AB;4500;1200;1;Francis;Ovanjordsanläggning;48;3;;;Järperudsälven;Arvika;Arvika kommun;Värmlands län;59.87155;12.53745
Virsbo;Mälarenergi Vattenkraft AB;4500;1400;2;Semikaplan hävertturbin;Ovanjordsanläggning;3;60;24;;Kolbäcksån;Virsbo;Surahammars kommun;Västmanlands län;59.86688;16.04591
Forsså;Orsa besparingsskog;4500;840;2;;Ovanjordsanläggning;;;;;Delångersån;Forsa;Hudiksvalls kommun;Gävleborgs län;61.75365;16.87276
Krokfjorden;Olofströms Energiservice AB;4500;1490;1;;Underjordsanläggning;14;;;;Ronnebyån;Krokfjorden;Tingsryds kommun;Kronobergs län;56.46883;15.15245
Sågfallet;Holmen Kraft AB;4500;1000;1;;Ovanjordsanläggning;;;;;Iggesundsån;Iggesund;Hudiksvalls kommun;Gävleborgs län;61.64038;17.06542
Vågforsen;Mjölby-Svartådalen Energi AB;4500;1550;3;2 Dubbel-Francisturbin, 1 Semikaplan;Ovanjordsanläggning;4.2;;;;Svartån, Motala ström;Skänninge;Mjölby kommun;Östergötlands län;58.43767;15.25005
Oskarström nedre;Varberg Energimarknad AB;4400;1500;3;Francis;Ovanjordsanläggning;3.5;;;;Nissan;Oskarström;Halmstads kommun;Hallands län;56.79435;12.97033
Ringsele;Skellefteå Kraftaktiebolag;4300;850;1;;Ovanjordsanläggning;;;;;Skellefteälven;Sädva;Arjeplogs kommun;Norrbottens län;66.43968;16.83390
Roggån;Härjeåns Kraft AB;4300;680;1;;Ovanjordsanläggning;;;;;Roggån;Fränsta;Ånge kommun;Västernorrlands län;62.48102;16.21767
Solveden;Vattenfall Småskalig Kraft AB;4220;1240;2;;Ovanjordsanläggning;5;;;;Säveån;Ingared;Alingsås kommun;Västra Götalands län;57.87200;12.44470
Bengtsfors;Mälarenergi AB;4200;900;1;;Ovanjordsanläggning;3.6;;;;Upperudsälven;Bengtsfors;Bengtsfors kommun;Västra Götalands län;59.02744;12.23224
Nygårdsforsen;Mälarenergi Vattenkraft AB;4200;1200;1;Francis;Ovanjordsanläggning;12.4;13;6.8;;Hedströmmen;Gisslarbo;Köpings kommun;Västmanlands län;59.62085;15.80539
Morgårdshammar;Kolbäckens Kraft KB;4200;1050;1;Kaplan;Ovanjordsanläggning;4.6;30;;;Kolbäcksån;Morgårdshammar;Smedjebackens kommun;Dalarnas län;60.14614;15.38224
Ädelfors;Skånska Energi AB;4200;840;1;Kaplan;Ovanjordsanläggning;7.5;15;12.3;0.1;Emån;Ädelfors;Vetlanda kommun;Jönköpings län;57.41119;15.32785
Härjevad;Karlskoga Energi & Miljö AB;4200;1300;1;;Ovanjordsanläggning;;;;;Lidan;Härjevad;Lidköpings kommun;Västra Götalands län;58.36469;13.03958
Karlshammar;IR Kraft AB;4200;810;1;1 Francis, 1 Kaplan;Ovanjordsanläggning;3.6;;25;;Emån;Karlshammar;Mönsterås kommun;Kalmar län;57.15388;16.41997
Ramsjöholm;Nässjö Affärsverk AB;4200;1250;1;;Ovanjordsanläggning;;;;;Huskvarnaån;Lekeryd;Jönköpings kommun;Jönköpings län;57.84347;14.42739
Strömsbro;Nilsson Kraft AB;4200;700;1;;Ovanjordsanläggning;;;;;Testeboån;Gävle;Gävle kommun;Gävleborgs län;60.69806;17.15915
Bosgården;Vattenfall Småskalig Kraft AB;4155;1200;1;Kaplan;Ovanjordsanläggning;18;9.5;6;;Storån, Bollebygd;Rävlanda;Marks kommun;Västra Götalands län;57.60792;12.46907
Uddnäs;Kolbäckens Kraft KB;4100;1050;1;;Ovanjordsanläggning;3.6;;;;Kolbäcksån;Fagersta;Fagersta kommun;Västmanlands län;59.99697;15.78931
Ålsätra;Mälarenergi Vattenkraft AB;4100;1400;2;Semikaplan hävertturbin;Ovanjordsanläggning;2.7;60;27;;Kolbäcksån;Hallstahammar;Hallstahammar kommun;Västmanlands län;59.64709;16.20074
Blomsfors;Tekniska Verken i Linköping AB;4100;1200;1;;Ovanjordsanläggning;9;;;;Stångån, Motala Ström;Horn;Kinda kommun;Östergötlands län;57.90105;15.80579
Strömmen;Vattenfall Småskalig Kraft AB;4056;1400;1;Francis;Ovanjordsanläggning;33;4.5;2.3;;Viskan;Fönhult;Marks kommun;Västra Götalands län;57.39515;12.72885
Gustavsberg;Statkraft Sverige Vattendel 3 AB;4000;864;1;Kaplan;Ovanjordsanläggning;11.5;;;;Västerån;Torup;Hylte kommun;Hallands län;56.95649;13.09672
Hällefors;Karlskoga Energi & Miljö AB;4000;2100;1;Kaplan;Ovanjordsanläggning;7.5;;;;Svartälven;Hällefors;Hällefors kommun;Örebro län;59.78461;14.50716
Klippan;Skånska Energi Vattenkraft AB;4000;760;1;Kaplan;Ovanjordsanläggning;8.5;;;;Rönne å;Klippan;Klippans kommun;Skåne län;56.12173;13.14433
Knislinge;E.ON Vattenkraft Sverige AB;4000;730;1;;Ovanjordsanläggning;4;;;;Helge å;Knislinge;Östra Göinge kommun;Skåne län;56.19443;14.09675
Kolsva;Mälarenergi Vattenkraft AB;4000;800;1;Kaplan;Ovanjordsanläggning;7;15;10;;Hedströmmen;Kolsva;Köpings kommun;Västmanlands län;59.59796;15.83691
Sidensjö;Statkraft Sverige AB;4000;1300;1;Kaplan;Ovanjordsanläggning;16;10;;;Nätraån;Långsele;Örnsköldsviks kommun;Västernorrlands län;63.29173;18.29207
Sävenfors;Karlskoga Energi & Miljö AB;4000;1500;1;;Ovanjordsanläggning;15;;;;Svartälven;Hällefors;Hällefors kommun;Örebro län;59.88068;14.53663
Vännebo;Västerbergslagens Kraft AB;4000;700;2;Francis;Ovanjordsanläggning;45;;;;Kolbäcksån;Ludvika;Ludvika kommun;Dalarnas län;60.21248;14.74054
Slagsån;Jämtkraft AB;4000;800;1;;Ovanjordsanläggning;60;1.5;1.3;11.6;Indalsälven;Östersund;Åre kommun;Jämtlands län;63.32692;13.37008
Dalstuga;Fortum Generation AB;4000;800;1;;Ovanjordsanläggning;9.5;9.5;6.4;176;Svärdsjövattendragen;Rättvik;Rättviks kommun;Dalarnas län;61.05355;15.70300
